huc10,name,areaSqkm,statefps
0405000101,Coldwater River,765.09,"18,26"
0405000102,Headwaters Saint Joseph River,573.87,26
0405000103,Nottawa Creek,461.68,26
0405000104,Swan Creek-Saint Joseph River,531.25,26
0405000105,Portage River,508.27,26
0405000106,Rocky River,454.14,26
0405000107,Prairie River,472.14,"18,26"
0405000108,Fawn River,669.21,"18,26"
0405000109,Little Portage Creek-Saint Joseph River,242.81,26
0405000110,Pigeon Creek,549.25,"18,26"
0405000111,Pigeon River,474.71,"18,26"
0405000112,Little Elkhart River,335.84,18
0405000113,Mill Creek-Saint Joseph River,331.43,"18,26"
0405000114,Christiana Creek,305.02,"18,26"
0405000115,North Branch Elkhart River,422.61,18
0405000116,South Branch Elkhart River,298.86,18
0405000117,Turkey Creek,475.53,18
0405000118,Solomon Creek-Elkhart River,326.96,18
0405000119,Elkhart River,292.38,18
0405000120,Puterbaugh Creek-Saint Joseph River,254.14,"18,26"
0405000121,Baugo Creek,207.55,18
0405000122,Brandywine Creek-Saint Joseph River,677.42,"18,26"
0405000123,Dowagiac River,733.81,26
0405000124,North Branch Paw Paw River,511.25,26
0405000125,Paw Paw River,645.34,26
0405000126,Saint Joseph River,688.14,"18,26"